,County,State,Year,Population,Pop_percent_change,Fatalities,intensity
475,Assalaya,East Darfur,2014,,,3,
476,Assalaya,East Darfur,2015,,,9,
477,Ed Daein,East Darfur,2008,,,70,
478,Ed Daein,East Darfur,2009,,,1,
479,Ed Daein,East Darfur,2012,,,65,
480,Ed Daein,East Darfur,2013,,,131,
481,Ed Daein,East Darfur,2014,,,165,
482,Ed Daein,East Darfur,2015,,,53,
483,El Ferdous,East Darfur,2014,,,23,
484,El Ferdous,East Darfur,2015,,,193,
485,Sheiria,East Darfur,2008,,,23,
486,Sheiria,East Darfur,2009,,,0,
487,Sheiria,East Darfur,2012,,,1,
488,Sheiria,East Darfur,2013,,,32,
489,Sheiria,East Darfur,2014,,,1,
490,Sheiria,East Darfur,2015,,,7,
491,Eastern El Gezira,El Gazira,2012,,,0,
492,El Kamleen,El Gazira,2009,,,0,
493,El Manageel,El Gazira,2008,,,0,
494,El Manageel,El Gazira,2013,,,0,
495,Greater Wad Madani,El Gazira,2008,,,19,
496,Greater Wad Madani,El Gazira,2011,,,0,
497,Greater Wad Madani,El Gazira,2012,,,19,
498,Greater Wad Madani,El Gazira,2013,,,29,
499,Greater Wad Madani,El Gazira,2014,,,0,
500,Greater Wad Madani,El Gazira,2015,,,0,
501,Southern El Gezira,El Gazira,2015,,,7,
502,Central Equatoria,Equatoria,2008,,,344,
503,Central Equatoria,Equatoria,2009,,,100,
504,Central Equatoria,Equatoria,2010,,,31,
505,Central Equatoria,Equatoria,2011,,,102,
506,Eastern Equatoria,Equatoria,2008,,,96,
507,Eastern Equatoria,Equatoria,2009,,,39,
508,Eastern Equatoria,Equatoria,2010,,,10,
509,Eastern Equatoria,Equatoria,2011,,,6,
510,Western Equatoria,Equatoria,2008,,,247,
511,Western Equatoria,Equatoria,2009,,,212,
512,Western Equatoria,Equatoria,2010,,,97,
513,Western Equatoria,Equatoria,2011,,,53,
514,Basonda,Gedaref,2014,,,20,
515,Basonda,Gedaref,2015,,,1,
516,El Fashaga,Gedaref,2012,,,0,
517,El Fashaga,Gedaref,2013,,,0,
518,El Fashaga,Gedaref,2015,,,0,
519,El Quresha,Gedaref,2010,,,5,
520,El Rahad,Gedaref,2015,,,0,
521,Gedaref,Gedaref,2011,,,8,
522,Gedaref,Gedaref,2012,,,0,
523,Gedaref,Gedaref,2013,,,1,
524,Gedaref,Gedaref,2014,,,10,
525,Gedaref,Gedaref,2015,,,25,
526,Halfa El Jadeeda,Kassala,2012,,,0,
527,Kassala,Kassala,2008,,,1,
528,Kassala,Kassala,2011,,,0,
529,Kassala,Kassala,2012,,,0,
530,Kassala,Kassala,2013,,,24,
531,Kassala,Kassala,2014,,,0,
532,Kassala,Kassala,2015,,,1,
533,Khashm Ghirba,Kassala,2015,,,1,
534,Western Kassala,Kassala,2015,,,2,
535,Jabal Aulia,Khartoum,2012,,,0,
536,Jabal Aulia,Khartoum,2013,,,0,
537,Jabal Aulia,Khartoum,2015,,,0,
538,Karari,Khartoum,2008,,,0,
539,Karari,Khartoum,2015,,,0,
540,Khartoum,Khartoum,2008,,,4,
541,Khartoum,Khartoum,2009,,,0,
542,Khartoum,Khartoum,2010,,,0,
543,Khartoum,Khartoum,2011,,,0,
544,Khartoum,Khartoum,2012,,,7,
545,Khartoum,Khartoum,2013,,,216,
546,Khartoum,Khartoum,2014,,,5,
547,Khartoum,Khartoum,2015,,,3,
548,Khartoum North,Khartoum,2008,,,0,
549,Khartoum North,Khartoum,2012,,,0,
550,Khartoum North,Khartoum,2013,,,1,
551,Khartoum North,Khartoum,2014,,,0,
552,Khartoum North,Khartoum,2015,,,0,
553,Sharq El Nile,Khartoum,2014,,,0,
554,Um Durman,Khartoum,2012,,,0,
555,Um Durman,Khartoum,2013,,,0,
556,Um Durman,Khartoum,2015,,,0,
557,Umm Badda,Khartoum,2008,,,136,
558,Umm Badda,Khartoum,2009,,,0,
559,Umm Badda,Khartoum,2010,,,0,
560,Umm Badda,Khartoum,2011,,,1,
561,Umm Badda,Khartoum,2012,,,1,
562,Umm Badda,Khartoum,2013,,,81,
563,Umm Badda,Khartoum,2014,,,0,
564,Umm Badda,Khartoum,2015,,,7,
565,Ailliet,North Darfur,2010,,,0,
566,Ailliet,North Darfur,2012,,,8,
567,Ailliet,North Darfur,2013,,,1,
568,Ailliet,North Darfur,2014,,,86,
569,Ailliet,North Darfur,2015,,,12,
570,Dar El Salam,North Darfur,2008,,,80,
571,Dar El Salam,North Darfur,2009,,,12,
572,Dar El Salam,North Darfur,2010,,,46,
573,Dar El Salam,North Darfur,2011,,,20,
574,Dar El Salam,North Darfur,2012,,,135,
575,Dar El Salam,North Darfur,2013,,,27,
576,Dar El Salam,North Darfur,2014,,,25,
577,Dar El Salam,North Darfur,2015,,,106,
578,El Fasher,North Darfur,2008,,,141,
579,El Fasher,North Darfur,2009,,,11,
580,El Fasher,North Darfur,2010,,,242,
581,El Fasher,North Darfur,2011,,,78,
582,El Fasher,North Darfur,2012,,,81,
583,El Fasher,North Darfur,2013,,,488,
584,El Fasher,North Darfur,2014,,,232,
585,El Fasher,North Darfur,2015,,,139,
586,El Malha,North Darfur,2008,,,19,
587,El Malha,North Darfur,2009,,,0,
588,El Malha,North Darfur,2010,,,0,
589,El Malha,North Darfur,2011,,,0,
590,El Malha,North Darfur,2012,,,69,
591,El Malha,North Darfur,2013,,,5,
592,El Malha,North Darfur,2014,,,4,
593,El Malha,North Darfur,2015,,,20,
594,Kalimendo,North Darfur,2012,,,80,
595,Kalimendo,North Darfur,2013,,,0,
596,Kalimendo,North Darfur,2015,,,1,
597,Kebkabiya,North Darfur,2008,,,0,
598,Kebkabiya,North Darfur,2009,,,7,
599,Kebkabiya,North Darfur,2010,,,41,
600,Kebkabiya,North Darfur,2011,,,3,
601,Kebkabiya,North Darfur,2012,,,97,
602,Kebkabiya,North Darfur,2013,,,263,
603,Kebkabiya,North Darfur,2014,,,126,
604,Kebkabiya,North Darfur,2015,,,11,
605,Kornoi,North Darfur,2008,,,0,
606,Kornoi,North Darfur,2012,,,0,
607,Kornoi,North Darfur,2015,,,1,
608,Kutum,North Darfur,2008,,,3,
609,Kutum,North Darfur,2009,,,4,
610,Kutum,North Darfur,2010,,,18,
611,Kutum,North Darfur,2011,,,2,
612,Kutum,North Darfur,2012,,,22,
613,Kutum,North Darfur,2013,,,8,
614,Kutum,North Darfur,2014,,,368,
615,Kutum,North Darfur,2015,,,186,
616,Mellit,North Darfur,2008,,,2,
617,Mellit,North Darfur,2009,,,8,
618,Mellit,North Darfur,2010,,,0,
619,Mellit,North Darfur,2011,,,10,
620,Mellit,North Darfur,2012,,,12,
621,Mellit,North Darfur,2013,,,11,
622,Mellit,North Darfur,2014,,,202,
623,Mellit,North Darfur,2015,,,185,
624,Saraf Omra,North Darfur,2008,,,0,
625,Saraf Omra,North Darfur,2009,,,5,
626,Saraf Omra,North Darfur,2012,,,7,
627,Saraf Omra,North Darfur,2013,,,79,
628,Saraf Omra,North Darfur,2014,,,66,
629,Saraf Omra,North Darfur,2015,,,3,
630,Tawilla,North Darfur,2008,,,62,
631,Tawilla,North Darfur,2012,,,8,
632,Tawilla,North Darfur,2013,,,44,
633,Tawilla,North Darfur,2014,,,64,
634,Tawilla,North Darfur,2015,,,83,
635,Um Buru,North Darfur,2012,,,0,
636,Um Buru,North Darfur,2013,,,14,
637,Bara,North Kordofan,2009,,,0,
638,Bara,North Kordofan,2014,,,0,
639,Jebrat El Sheikh,North Kordofan,2008,,,0,
640,Jebrat El Sheikh,North Kordofan,2012,,,0,
641,Jebrat El Sheikh,North Kordofan,2015,,,1,
642,Shiekan,North Kordofan,2008,,,0,
643,Shiekan,North Kordofan,2009,,,253,
644,Shiekan,North Kordofan,2010,,,2,
645,Shiekan,North Kordofan,2012,,,22,
646,Shiekan,North Kordofan,2013,,,13,
647,Shiekan,North Kordofan,2014,,,2,
648,Shiekan,North Kordofan,2015,,,1,
649,Sodari,North Kordofan,2014,,,0,
650,Sodari,North Kordofan,2015,,,0,
651,Um Rawaba,North Kordofan,2010,,,0,
652,Um Rawaba,North Kordofan,2013,,,36,
653,Um Rawaba,North Kordofan,2014,,,0,
654,Um Rawaba,North Kordofan,2015,,,0,
655,Algolid,Northern,2008,,,0,
656,Dalgo,Northern,2008,,,0,
657,Dalgo,Northern,2013,,,1,
658,Dalgo,Northern,2015,,,0,
659,Dongola,Northern,2008,,,12,
660,Dongola,Northern,2012,,,2,
661,Dongola,Northern,2014,,,1,
662,Dongola,Northern,2015,,,2,
663,Merawi,Northern,2012,,,0,
664,Merawi,Northern,2015,,,0,
665,El Qaneb,Red Sea,2012,,,0,
666,Halayeb,Red Sea,2009,,,4,
667,Halayeb,Red Sea,2014,,,0,
668,Halayeb,Red Sea,2015,,,0,
669,Haya,Red Sea,2014,,,0,
670,Port Sudan,Red Sea,2009,,,0,
671,Port Sudan,Red Sea,2010,,,0,
672,Port Sudan,Red Sea,2011,,,0,
673,Port Sudan,Red Sea,2012,,,1,
674,Port Sudan,Red Sea,2013,,,4,
675,Port Sudan,Red Sea,2014,,,3,
676,Port Sudan,Red Sea,2015,,,0,
677,Suakin,Red Sea,2014,,,0,
678,Abu Hamed,River Nile,2012,,,0,
679,Abu Hamed,River Nile,2013,,,0,
680,Abu Hamed,River Nile,2015,,,4,
681,Atbara,River Nile,2012,,,0,
682,Atbara,River Nile,2013,,,0,
683,Atbara,River Nile,2014,,,0,
684,Barbar,River Nile,2014,,,0,
685,Ed Damer,River Nile,2011,,,0,
686,Ed Damer,River Nile,2012,,,0,
687,Ed Damer,River Nile,2013,,,0,
688,Ed Damer,River Nile,2014,,,1,
689,Ed Damer,River Nile,2015,,,0,
690,El Matammah,River Nile,2015,,,0,
691,Shendi,River Nile,2012,,,0,
692,Shendi,River Nile,2013,,,0,
693,Shendi,River Nile,2014,,,1,
694,El Dindir,Sennar,2008,,,10,
695,El Dindir,Sennar,2013,,,0,
696,El Dindir,Sennar,2015,,,70,
697,Sennar,Sennar,2011,,,0,
698,Sennar,Sennar,2012,,,0,
699,Sennar,Sennar,2014,,,0,
700,Sennar,Sennar,2015,,,0,
701,Singa,Sennar,2012,,,3,
702,Singa,Sennar,2013,,,0,
703,Singa,Sennar,2014,,,0,
704,Adila,South Darfur,2014,,,19,
705,Alwehda,South Darfur,2013,,,3,
706,Bielel,South Darfur,2008,,,0,
707,Bielel,South Darfur,2010,,,4,
708,Bielel,South Darfur,2011,,,0,
709,Bielel,South Darfur,2012,,,4,
710,Bielel,South Darfur,2013,,,110,
711,Bielel,South Darfur,2014,,,94,
712,Bielel,South Darfur,2015,,,10,
713,Buram,South Darfur,2008,,,24,
714,Buram,South Darfur,2009,,,5,
715,Buram,South Darfur,2010,,,55,
716,Buram,South Darfur,2012,,,0,
717,Buram,South Darfur,2013,,,22,
718,Buram,South Darfur,2014,,,6,
719,Buram,South Darfur,2015,,,62,
720,El Radoom,South Darfur,2008,,,1,
721,El Radoom,South Darfur,2012,,,1,
722,El Radoom,South Darfur,2013,,,16,
723,El Radoom,South Darfur,2014,,,15,
724,El Radoom,South Darfur,2015,,,1,
725,El Salam,South Darfur,2014,,,0,
726,El Salam,South Darfur,2015,,,1,
727,Gereida,South Darfur,2009,,,0,
728,Gereida,South Darfur,2011,,,1,
729,Gereida,South Darfur,2012,,,5,
730,Gereida,South Darfur,2013,,,23,
731,Gereida,South Darfur,2014,,,34,
732,Gereida,South Darfur,2015,,,21,
733,Kass,South Darfur,2008,,,0,
734,Kass,South Darfur,2009,,,3,
735,Kass,South Darfur,2010,,,37,
736,Kass,South Darfur,2011,,,0,
737,Kass,South Darfur,2012,,,47,
738,Kass,South Darfur,2013,,,36,
739,Kass,South Darfur,2014,,,15,
740,Kass,South Darfur,2015,,,15,
741,Katayla,South Darfur,2008,,,128,
742,Katayla,South Darfur,2009,,,1,
743,Katayla,South Darfur,2010,,,7,
744,Katayla,South Darfur,2012,,,0,
745,Katayla,South Darfur,2013,,,173,
746,Katayla,South Darfur,2014,,,2,
747,Katayla,South Darfur,2015,,,2,
748,Marshang,South Darfur,2008,,,5,
749,Marshang,South Darfur,2010,,,5,
750,Marshang,South Darfur,2011,,,1,
751,Marshang,South Darfur,2013,,,86,
752,Marshang,South Darfur,2014,,,13,
753,Marshang,South Darfur,2015,,,6,
754,Nyala,South Darfur,2008,,,58,
755,Nyala,South Darfur,2009,,,45,
756,Nyala,South Darfur,2010,,,122,
757,Nyala,South Darfur,2011,,,44,
758,Nyala,South Darfur,2012,,,62,
759,Nyala,South Darfur,2013,,,877,
760,Nyala,South Darfur,2014,,,288,
761,Nyala,South Darfur,2015,,,136,
762,Rahad El Berdi,South Darfur,2010,,,0,
763,Rahad El Berdi,South Darfur,2015,,,0,
764,Sharg Jabel Marra,South Darfur,2010,,,9,
765,Sharg Jabel Marra,South Darfur,2012,,,2,
766,Sharg Jabel Marra,South Darfur,2013,,,0,
767,Sharg Jabel Marra,South Darfur,2014,,,57,
768,Sharg Jabel Marra,South Darfur,2015,,,9,
769,Shattai,South Darfur,2009,,,0,
770,Shattai,South Darfur,2011,,,3,
771,Shattai,South Darfur,2013,,,0,
772,Shattai,South Darfur,2014,,,17,
773,Shattai,South Darfur,2015,,,7,
774,Sunta,South Darfur,2013,,,1,
775,Sunta,South Darfur,2015,,,0,
776,Tullus,South Darfur,2008,,,115,
777,Tullus,South Darfur,2009,,,0,
778,Tullus,South Darfur,2013,,,61,
779,Tullus,South Darfur,2014,,,0,
780,Tullus,South Darfur,2015,,,119,
781,Abu Jubaiha,South Kordofan,2012,,,16,
782,Abu Jubaiha,South Kordofan,2013,,,18,
783,Abu Jubaiha,South Kordofan,2014,,,44,
784,Abu Jubaiha,South Kordofan,2015,,,30,
785,Al Buram,South Kordofan,2012,,,0,
786,Al Buram,South Kordofan,2013,,,1,
787,Al Buram,South Kordofan,2014,,,2,
788,Al Buram,South Kordofan,2015,,,0,
789,Dilling,South Kordofan,2008,,,3,
790,Dilling,South Kordofan,2009,,,0,
791,Dilling,South Kordofan,2011,,,1,
792,Dilling,South Kordofan,2012,,,148,
793,Dilling,South Kordofan,2013,,,189,
794,Dilling,South Kordofan,2014,,,66,
795,Dilling,South Kordofan,2015,,,76,
796,El Abassiya,South Kordofan,2009,,,0,
797,El Abassiya,South Kordofan,2011,,,0,
798,El Abassiya,South Kordofan,2012,,,198,
799,El Abassiya,South Kordofan,2013,,,122,
800,El Abassiya,South Kordofan,2014,,,12,
801,El Abassiya,South Kordofan,2015,,,10,
802,Kadugli,South Kordofan,2009,,,9,
803,Kadugli,South Kordofan,2011,,,1067,
804,Kadugli,South Kordofan,2012,,,240,
805,Kadugli,South Kordofan,2013,,,309,
806,Kadugli,South Kordofan,2014,,,331,
807,Kadugli,South Kordofan,2015,,,263,
808,Rashad,South Kordofan,2008,,,0,
809,Rashad,South Kordofan,2009,,,20,
810,Rashad,South Kordofan,2010,,,0,
811,Rashad,South Kordofan,2011,,,110,
812,Rashad,South Kordofan,2012,,,12,
813,Rashad,South Kordofan,2013,,,1041,
814,Rashad,South Kordofan,2014,,,0,
815,Rashad,South Kordofan,2015,,,1,
816,Talodi,South Kordofan,2009,,,7,
817,Talodi,South Kordofan,2011,,,121,
818,Talodi,South Kordofan,2012,,,142,
819,Talodi,South Kordofan,2013,,,44,
820,Talodi,South Kordofan,2014,,,56,
821,Talodi,South Kordofan,2015,,,121,
822,Jungoli,Upper Nile,2008,,,19,
823,Jungoli,Upper Nile,2009,,,1513,
824,Jungoli,Upper Nile,2010,,,75,
825,Jungoli,Upper Nile,2011,,,1175,
826,Unity,Upper Nile,2008,,,12,
827,Unity,Upper Nile,2009,,,58,
828,Unity,Upper Nile,2010,,,107,
829,Unity,Upper Nile,2011,,,76,
830,Upper Nile,Upper Nile,2008,,,24,
831,Upper Nile,Upper Nile,2009,,,323,
832,Upper Nile,Upper Nile,2010,,,47,
833,Upper Nile,Upper Nile,2011,,,210,
834,Beida,West Darfur,2012,,,9,
835,Beida,West Darfur,2013,,,10,
836,Beida,West Darfur,2014,,,4,
837,Beida,West Darfur,2015,,,78,
838,El Geneina,West Darfur,2008,,,14,
839,El Geneina,West Darfur,2009,,,3,
840,El Geneina,West Darfur,2010,,,40,
841,El Geneina,West Darfur,2011,,,3,
842,El Geneina,West Darfur,2012,,,25,
843,El Geneina,West Darfur,2013,,,92,
844,El Geneina,West Darfur,2014,,,12,
845,El Geneina,West Darfur,2015,,,16,
846,El Sireaf,West Darfur,2014,,,0,
847,Foro Baranga,West Darfur,2008,,,1,
848,Foro Baranga,West Darfur,2013,,,2,
849,Foro Baranga,West Darfur,2015,,,2,
850,Jebel Moon,West Darfur,2008,,,26,
851,Jebel Moon,West Darfur,2010,,,183,
852,Jebel Moon,West Darfur,2012,,,22,
853,Jebel Moon,West Darfur,2013,,,0,
854,Jebel Moon,West Darfur,2014,,,5,
855,Jebel Moon,West Darfur,2015,,,28,
856,Kreinik,West Darfur,2008,,,0,
857,Kreinik,West Darfur,2009,,,0,
858,Kreinik,West Darfur,2012,,,3,
859,Kreinik,West Darfur,2013,,,4,
860,Kreinik,West Darfur,2014,,,19,
861,Kreinik,West Darfur,2015,,,9,
862,Kulbus,West Darfur,2008,,,0,
863,Kulbus,West Darfur,2009,,,63,
864,Kulbus,West Darfur,2011,,,0,
865,Kulbus,West Darfur,2012,,,1,
866,Kulbus,West Darfur,2013,,,0,
867,Kulbus,West Darfur,2014,,,0,
868,Kulbus,West Darfur,2015,,,1,
869,Sirba,West Darfur,2008,,,127,
870,Sirba,West Darfur,2012,,,0,
871,Sirba,West Darfur,2013,,,3,
872,Sirba,West Darfur,2014,,,6,
873,Sirba,West Darfur,2015,,,2,
874,Abu Zabad,West Kordofan,2013,,,87,
875,Abu Zabad,West Kordofan,2015,,,2,
876,Abyei-Muglad,West Kordofan,2008,,,0,
877,Abyei-Muglad,West Kordofan,2012,,,7,
878,Abyei-Muglad,West Kordofan,2014,,,169,
879,Abyei-Muglad,West Kordofan,2015,,,10,
880,Babanusa,West Kordofan,2009,,,0,
881,Babanusa,West Kordofan,2014,,,47,
882,El Nehoud,West Kordofan,2008,,,0,
883,El Nehoud,West Kordofan,2012,,,0,
884,El Nehoud,West Kordofan,2014,,,0,
885,El Salam,West Kordofan,2011,,,0,
886,El Salam,West Kordofan,2013,,,14,
887,El Salam,West Kordofan,2014,,,183,
888,El Salam,West Kordofan,2015,,,13,
889,Ghubaysh,West Kordofan,2008,,,0,
890,Ghubaysh,West Kordofan,2010,,,0,
891,Ghubaysh,West Kordofan,2012,,,0,
892,Ghubaysh,West Kordofan,2013,,,187,
893,Ghubaysh,West Kordofan,2014,,,1,
894,Ghubaysh,West Kordofan,2015,,,8,
895,Lagawa,West Kordofan,2011,,,0,
896,Lagawa,West Kordofan,2013,,,9,
897,Lagawa,West Kordofan,2014,,,41,
898,Lagawa,West Kordofan,2015,,,4,
899,Wad Banda,West Kordofan,2011,,,31,
900,Wad Banda,West Kordofan,2013,,,100,
901,El Douiem,White Nile,2012,,,0,
902,El Douiem,White Nile,2015,,,0,
903,El Gutaina,White Nile,2012,,,99,
904,El Gutaina,White Nile,2013,,,1,
905,El Gutaina,White Nile,2015,,,1,
906,El Salam,White Nile,2012,,,1,
907,Kosti,White Nile,2011,,,0,
908,Kosti,White Nile,2012,,,0,
909,Kosti,White Nile,2014,,,0,
910,Kosti,White Nile,2015,,,0,
911,Rabak,White Nile,2012,,,0,
912,Rabak,White Nile,2014,,,7,
